"Label (Grouping)","Occupied housing units","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino","Occupied housing units!!AGE OF HOUSEHOLDER","Occupied housing units!!AGE OF HOUSEHOLDER!!Under 35 years","Occupied housing units!!AGE OF HOUSEHOLDER!!35 to 44 years","Occupied housing units!!AGE OF HOUSEHOLDER!!45 to 54 years","Occupied housing units!!AGE OF HOUSEHOLDER!!55 to 64 years","Occupied housing units!!AGE OF HOUSEHOLDER!!65 to 74 years","Occupied housing units!!AGE OF HOUSEHOLDER!!75 to 84 years","Occupied housing units!!AGE OF HOUSEHOLDER!!85 years and over","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2017 or later","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2015 to 2016","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 to 2014","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1989 or earlier"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,401,735","","","90.4%","2.3%","0.7%","2.5%","0.1%","2.1%","1.9%","12.4%","80.9%","","11.9%","17.8%","20.2%","22.7%","17.2%","7.7%","2.6%","","4.9%","16.6%","29.0%","49.6%","","6.9%","11.9%","22.9%","30.0%","15.8%","12.5%"
"        Margin of Error","±7,774","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.2","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","747,259","","","604,752","48,842","10,294","22,356","1,438","34,603","24,974","171,040","481,085","","309,851","147,440","107,811","86,897","50,529","25,849","18,882","","76,480","161,929","262,468","246,382","","175,068","222,137","253,891","74,050","14,883","7,230"
"        Margin of Error","±5,909","","","±5,252","±1,328","±831","±933","±242","±1,358","±1,184","±3,040","±4,666","","±3,381","±2,563","±2,502","±2,144","±1,442","±982","±742","","±2,450","±3,572","±3,273","±3,335","","±3,273","±3,673","±4,022","±1,948","±983","±486"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","747,259","","","80.9%","6.5%","1.4%","3.0%","0.2%","4.6%","3.3%","22.9%","64.4%","","41.5%","19.7%","14.4%","11.6%","6.8%","3.5%","2.5%","","10.2%","21.7%","35.1%","33.0%","","23.4%","29.7%","34.0%","9.9%","2.0%","1.0%"
"        Margin of Error","±5,909","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.2","±0.2","±0.4","±0.3","","±0.4","±0.3","±0.3","±0.3","±0.2","±0.1","±0.1","","±0.3","±0.4","±0.4","±0.4","","±0.4","±0.4","±0.4","±0.3","±0.1","±0.1"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,370,746","","","1,094,472","135,220","3,668","52,729","274","57,548","26,835","174,546","992,605","","211,383","221,329","279,388","292,136","204,492","108,140","53,878","","114,012","335,640","352,105","568,989","","120,369","181,821","303,784","342,496","191,904","230,372"
"        Margin of Error","±3,770","","","±3,893","±1,655","±409","±1,058","±142","±1,761","±1,463","±1,938","±3,255","","±2,557","±1,882","±2,051","±1,745","±1,398","±1,508","±1,297","","±2,684","±4,251","±3,621","±5,513","","±2,397","±2,970","±3,507","±3,401","±2,726","±2,067"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,370,746","","","79.8%","9.9%","0.3%","3.8%","0.0%","4.2%","2.0%","12.7%","72.4%","","15.4%","16.1%","20.4%","21.3%","14.9%","7.9%","3.9%","","8.3%","24.5%","25.7%","41.5%","","8.8%","13.3%","22.2%","25.0%","14.0%","16.8%"
"        Margin of Error","±3,770","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","905,681","","","793,356","53,306","1,486","30,386","76","15,877","11,194","59,815","753,540","","71,546","131,371","199,724","223,816","160,789","82,693","35,742","","43,017","197,526","228,659","436,479","","38,690","65,477","143,872","267,617","172,771","217,254"
"        Margin of Error","±5,660","","","±4,951","±1,400","±257","±851","±49","±833","±828","±1,600","±4,314","","±1,816","±2,041","±2,311","±2,038","±1,647","±1,286","±956","","±1,478","±3,170","±3,436","±4,918","","±1,383","±1,848","±2,763","±3,112","±2,649","±2,064"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","905,681","","","87.6%","5.9%","0.2%","3.4%","0.0%","1.8%","1.2%","6.6%","83.2%","","7.9%","14.5%","22.1%","24.7%","17.8%","9.1%","3.9%","","4.7%","21.8%","25.2%","48.2%","","4.3%","7.2%","15.9%","29.5%","19.1%","24.0%"
"        Margin of Error","±5,660","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.4","±0.3","±0.4","","±0.1","±0.2","±0.3","±0.3","±0.3","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","465,065","","","301,116","81,914","2,182","22,343","198","41,671","15,641","114,731","239,065","","139,837","89,958","79,664","68,320","43,703","25,447","18,136","","70,995","138,114","123,446","132,510","","81,679","116,344","159,912","74,879","19,133","13,118"
"        Margin of Error","±4,134","","","±3,736","±1,927","±338","±928","±120","±1,606","±1,189","±1,763","±3,618","","±2,280","±1,907","±2,187","±1,782","±1,252","±1,051","±823","","±2,180","±2,640","±2,933","±2,423","","±2,126","±2,484","±2,736","±1,900","±1,066","±759"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","465,065","","","64.7%","17.6%","0.5%","4.8%","0.0%","9.0%","3.4%","24.7%","51.4%","","30.1%","19.3%","17.1%","14.7%","9.4%","5.5%","3.9%","","15.3%","29.7%","26.5%","28.5%","","17.6%","25.0%","34.4%","16.1%","4.1%","2.8%"
"        Margin of Error","±4,134","","","±0.5","±0.4","±0.1","±0.2","±0.1","±0.3","±0.3","±0.4","±0.5","","±0.4","±0.4","±0.4","±0.4","±0.3","±0.2","±0.2","","±0.4","±0.5","±0.5","±0.5","","±0.4","±0.5","±0.5","±0.4","±0.2","±0.2"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","363,322","","","263,911","74,927","1,615","12,482","177","4,550","5,660","23,705","246,718","","60,834","55,101","68,038","74,809","61,733","31,808","10,999","","29,048","101,984","104,715","127,575","","33,313","51,779","84,588","99,415","47,503","46,724"
"        Margin of Error","±1,674","","","±1,584","±1,032","±238","±405","±68","±446","±529","±689","±1,501","","±1,190","±930","±955","±890","±825","±775","±502","","±1,219","±1,911","±2,177","±2,001","","±1,251","±1,733","±1,865","±1,964","±1,496","±1,103"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","363,322","","","72.6%","20.6%","0.4%","3.4%","0.0%","1.3%","1.6%","6.5%","67.9%","","16.7%","15.2%","18.7%","20.6%","17.0%","8.8%","3.0%","","8.0%","28.1%","28.8%","35.1%","","9.2%","14.3%","23.3%","27.4%","13.1%","12.9%"
"        Margin of Error","±1,674","","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.3","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","","±0.3","±0.5","±0.6","±0.5","","±0.3","±0.5","±0.5","±0.5","±0.4","±0.3"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","258,780","","","206,463","38,221","1,097","7,558","57","2,196","3,188","11,579","198,037","","24,227","34,658","50,857","60,855","52,883","26,811","8,489","","15,794","68,024","73,952","101,010","","13,570","22,972","46,912","85,696","44,601","45,029"
"        Margin of Error","±2,277","","","±1,939","±953","±217","±415","±39","±257","±399","±671","±1,890","","±1,070","±1,035","±1,182","±960","±819","±845","±473","","±914","±1,537","±1,995","±1,876","","±839","±1,100","±1,252","±1,690","±1,466","±1,086"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","258,780","","","79.8%","14.8%","0.4%","2.9%","0.0%","0.8%","1.2%","4.5%","76.5%","","9.4%","13.4%","19.7%","23.5%","20.4%","10.4%","3.3%","","6.1%","26.3%","28.6%","39.0%","","5.2%","8.9%","18.1%","33.1%","17.2%","17.4%"
"        Margin of Error","±2,277","","","±0.4","±0.3","±0.1","±0.2","±0.1","±0.1","±0.2","±0.3","±0.4","","±0.4","±0.4","±0.4","±0.4","±0.3","±0.3","±0.2","","±0.3","±0.6","±0.7","±0.7","","±0.3","±0.4","±0.4","±0.6","±0.5","±0.4"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","104,542","","","57,448","36,706","518","4,924","120","2,354","2,472","12,126","48,681","","36,607","20,443","17,181","13,954","8,850","4,997","2,510","","13,254","33,960","30,763","26,565","","19,743","28,807","37,676","13,719","2,902","1,695"
"        Margin of Error","±1,949","","","±1,566","±1,116","±173","±396","±69","±367","±363","±664","±1,467","","±1,276","±897","±974","±784","±587","±471","±299","","±828","±1,225","±1,206","±1,176","","±958","±1,261","±1,599","±836","±357","±235"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","104,542","","","55.0%","35.1%","0.5%","4.7%","0.1%","2.3%","2.4%","11.6%","46.6%","","35.0%","19.6%","16.4%","13.3%","8.5%","4.8%","2.4%","","12.7%","32.5%","29.4%","25.4%","","18.9%","27.6%","36.0%","13.1%","2.8%","1.6%"
"        Margin of Error","±1,949","","","±0.9","±0.9","±0.2","±0.4","±0.1","±0.3","±0.3","±0.6","±0.9","","±1.0","±0.8","±0.8","±0.7","±0.6","±0.4","±0.3","","±0.7","±1.0","±1.1","±1.0","","±0.9","±1.0","±1.3","±0.8","±0.3","±0.2"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","284,386","","","131,369","123,184","881","11,628","71","9,551","7,702","24,718","119,278","","83,304","58,054","44,045","42,759","31,758","17,253","7,213","","22,530","42,329","44,543","174,984","","38,195","53,076","80,610","56,901","24,299","31,305"
"        Margin of Error","±1,503","","","±1,362","±1,290","±177","±580","±60","±714","±606","±689","±1,220","","±1,292","±927","±906","±792","±635","±567","±468","","±1,127","±1,252","±1,533","±1,638","","±1,490","±1,658","±1,587","±1,717","±988","±819"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","284,386","","","46.2%","43.3%","0.3%","4.1%","0.0%","3.4%","2.7%","8.7%","41.9%","","29.3%","20.4%","15.5%","15.0%","11.2%","6.1%","2.5%","","7.9%","14.9%","15.7%","61.5%","","13.4%","18.7%","28.3%","20.0%","8.5%","11.0%"
"        Margin of Error","±1,503","","","±0.4","±0.4","±0.1","±0.2","±0.1","±0.3","±0.2","±0.2","±0.4","","±0.4","±0.3","±0.3","±0.3","±0.2","±0.2","±0.2","","±0.4","±0.4","±0.5","±0.5","","±0.5","±0.6","±0.5","±0.6","±0.3","±0.3"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","118,367","","","65,012","43,334","294","4,661","33","1,854","3,179","8,098","60,007","","15,282","24,958","22,807","21,595","18,601","10,406","4,718","","4,095","10,161","15,717","88,394","","7,576","11,601","26,833","31,146","16,301","24,910"
"        Margin of Error","±1,823","","","±1,217","±1,043","±123","±430","±31","±298","±390","±473","±1,157","","±747","±798","±799","±697","±653","±496","±351","","±400","±537","±737","±1,661","","±619","±749","±1,010","±1,158","±806","±706"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","118,367","","","54.9%","36.6%","0.2%","3.9%","0.0%","1.6%","2.7%","6.8%","50.7%","","12.9%","21.1%","19.3%","18.2%","15.7%","8.8%","4.0%","","3.5%","8.6%","13.3%","74.7%","","6.4%","9.8%","22.7%","26.3%","13.8%","21.0%"
"        Margin of Error","±1,823","","","±0.7","±0.7","±0.1","±0.3","±0.1","±0.3","±0.3","±0.4","±0.7","","±0.5","±0.6","±0.6","±0.5","±0.5","±0.4","±0.3","","±0.3","±0.4","±0.6","±0.7","","±0.5","±0.6","±0.8","±0.9","±0.6","±0.6"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","166,019","","","66,357","79,850","587","6,967","38","7,697","4,523","16,620","59,271","","68,022","33,096","21,238","21,164","13,157","6,847","2,495","","18,435","32,168","28,826","86,590","","30,619","41,475","53,777","25,755","7,998","6,395"
"        Margin of Error","±1,923","","","±1,255","±1,496","±154","±593","±44","±703","±483","±825","±1,223","","±1,330","±1,217","±949","±851","±587","±503","±364","","±1,136","±1,239","±1,377","±1,617","","±1,370","±1,472","±1,374","±1,309","±566","±510"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","166,019","","","40.0%","48.1%","0.4%","4.2%","0.0%","4.6%","2.7%","10.0%","35.7%","","41.0%","19.9%","12.8%","12.7%","7.9%","4.1%","1.5%","","11.1%","19.4%","17.4%","52.2%","","18.4%","25.0%","32.4%","15.5%","4.8%","3.9%"
"        Margin of Error","±1,923","","","±0.6","±0.7","±0.1","±0.3","±0.1","±0.4","±0.3","±0.5","±0.6","","±0.7","±0.7","±0.5","±0.5","±0.3","±0.3","±0.2","","±0.7","±0.7","±0.8","±0.8","","±0.8","±0.8","±0.8","±0.7","±0.3","±0.3"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,736,311","","","6,161,542","1,064,084","20,884","176,202","3,414","176,309","133,876","1,610,100","4,800,896","","1,183,675","1,197,243","1,400,938","1,504,074","1,341,518","794,777","314,086","","734,883","1,939,471","2,465,671","2,596,286","","893,492","1,340,742","2,059,788","1,886,083","917,890","638,316"
"        Margin of Error","±23,882","","","±18,639","±6,032","±1,091","±2,126","±397","±3,459","±3,523","±7,681","±14,276","","±8,110","±5,879","±7,201","±6,019","±5,929","±5,446","±3,392","","±6,262","±9,048","±14,081","±20,290","","±7,190","±8,631","±10,709","±12,636","±7,551","±5,982"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,736,311","","","79.6%","13.8%","0.3%","2.3%","0.0%","2.3%","1.7%","20.8%","62.1%","","15.3%","15.5%","18.1%","19.4%","17.3%","10.3%","4.1%","","9.5%","25.1%","31.9%","33.6%","","11.5%","17.3%","26.6%","24.4%","11.9%","8.3%"
"        Margin of Error","±23,882","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,058,841","","","4,289,610","481,979","12,244","121,548","1,504","76,981","74,975","827,202","3,571,467","","367,008","629,697","915,206","1,129,854","1,107,989","669,592","239,495","","379,948","1,199,502","1,580,794","1,898,597","","344,789","568,966","1,082,958","1,595,044","858,511","608,573"
"        Margin of Error","±30,826","","","±24,469","±5,705","±849","±1,950","±202","±1,977","±2,589","±9,733","±17,783","","±6,461","±7,875","±7,882","±7,558","±6,048","±4,809","±3,150","","±4,487","±7,110","±13,133","±19,114","","±4,931","±6,728","±9,168","±12,449","±7,410","±5,926"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,058,841","","","84.8%","9.5%","0.2%","2.4%","0.0%","1.5%","1.5%","16.4%","70.6%","","7.3%","12.4%","18.1%","22.3%","21.9%","13.2%","4.7%","","7.5%","23.7%","31.2%","37.5%","","6.8%","11.2%","21.4%","31.5%","17.0%","12.0%"
"        Margin of Error","±30,826","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,677,470","","","1,871,932","582,105","8,640","54,654","1,910","99,328","58,901","782,898","1,229,429","","816,667","567,546","485,732","374,220","233,529","125,185","74,591","","354,935","739,969","884,877","697,689","","548,703","771,776","976,830","291,039","59,379","29,743"
"        Margin of Error","±13,189","","","±11,529","±4,760","±708","±1,852","±333","±2,997","±1,987","±6,169","±8,123","","±6,104","±5,917","±6,206","±5,455","±3,378","±2,425","±1,729","","±4,993","±7,811","±7,469","±6,455","","±5,931","±6,660","±8,144","±4,259","±1,696","±1,253"
